 Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth,Catalog,,
1973,1,6,153931,38.003,46.427,4.2,24,PDE  ,,
1973,1,12,115656,37.93,-90.52,3.2,20,PDE  ,,
1973,1,13,10037.6,51.768,-176.998,5.4,61,PDE  ,,
1973,1,13,133628.3,51.738,-176.983,4.7,58,PDE  ,,
1973,1,18,92814.1,-6.868,149.993,6.8,43,PDE  ,,
1973,1,21,81618.8,36.105,139.77,5,61,PDE  ,,
1973,1,25,222559.5,13.7,-89.324,4.4,100,PDE  ,,
1973,2,1,51420.6,-22.655,-66.195,6.7,229,PDE  ,,
1973,2,10,51217.7,33.196,140.653,5.3,62,PDE  ,,
1973,2,14,93258.8,-9.934,160.932,5.9,62,PDE  ,,
1973,2,14,214542.4,39.026,141.469,5.1,110,PDE  ,,
1973,2,20,113848.8,45.015,36.412,4.2,17,PDE  ,,
1973,2,21,144223.4,-39.583,176.572,5.1,38,PDE  ,,
1973,2,21,144557.3,34.065,-119.035,5.9,8,PDE  ,,
1973,2,26,222311.7,39.971,20.103,4,33,PDE  ,,
1973,2,28,80734.7,9.551,126.127,5.3,81,PDE  ,,
1973,2,28,82132.3,39.718,-75.441,3.8,14,PDE  ,,
1973,3,7,63510.7,41.799,20.048,4,48,PDE  ,,
1973,3,9,190912.8,-34.131,150.266,5.5,13,PDE  ,,
1973,3,11,133747.3,41.589,142.012,5.5,73,PDE  ,,
1973,3,13,14243.6,-5.448,154.209,5.5,170,PDE  ,,
1973,3,14,112546.7,-5.315,152.154,5.8,64,PDE  ,,
1973,3,17,83051.8,13.372,122.787,7.5,33,PDE  ,,
1973,3,17,191720.3,-4.773,145.081,   ,59,PDE  ,,
1973,3,19,114107.7,52.835,173.773,5.8,81,PDE  ,,
1973,3,19,172350.9,-5.574,153.198,   ,34,PDE  ,,
1973,3,22,171802,-6.092,147.037,5.1,101,PDE  ,,
1973,3,22,205836,51.183,-179.236,4.9,40,PDE  ,,
1973,3,24,114522.1,47.312,11.294,   ,33,PDE  ,,
1973,3,27,20831.4,35.484,139.919,5,64,PDE  ,,
1973,3,27,123205,52.576,172.872,5.6,43,PDE  ,,
1973,3,28,72633.9,64.766,-147.535,3.3,21,PDE  ,,
1973,4,2,24324.8,37.699,69.979,4.4,54,PDE  ,,
1973,4,2,164929.3,51.94,-177.402,5.2,63,PDE  ,,
1973,4,5,43208.1,11.937,122.499,5.4,6,PDE  ,,
1973,4,7,193006.9,41.495,19.978,4.7,16,PDE  ,,
1973,4,8,124102,-15.779,167.218,6.4,35,PDE  ,,
1973,4,8,225156.4,-5.543,146.483,4.9,66,PDE  ,,
